('Net Interest Income', '-211,000', '-215,000', '89,000', '76,000', '-2,733,000')
         527744 function calls (508845 primitive calls) in 1.498 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        3    0.000    0.000    0.000    0.000 __init__.py:2073(createLock)
        1    0.000    0.000    0.010    0.010 __init__.py:21(<module>)
       20    0.000    0.000    0.000    0.000 __init__.py:212(_acquireLock)
       20    0.000    0.000    0.000    0.000 __init__.py:221(_releaseLock)
        1    0.000    0.000    0.004    0.004 __init__.py:24(<module>)
        2    0.000    0.000    0.000    0.000 __init__.py:242(_register_at_fork_reinit_lock)
        1    0.000    0.000    0.065    0.065 __init__.py:27(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:270(LogRecord)
      961    0.003    0.000    0.005    0.000 __init__.py:285(_replace_cdata_list_attribute_values)
        2    0.000    0.000    0.064    0.032 __init__.py:3(<module>)
       13    0.001    0.000    0.002    0.000 __init__.py:316(namedtuple)
        1    0.000    0.000    0.000    0.000 __init__.py:32(TreeBuilderRegistry)
        1    0.000    0.000    0.000    0.000 __init__.py:323(SAXTreeBuilder)
        1    0.000    0.000    0.000    0.000 __init__.py:37(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:373(HTMLTreeBuilder)
       95    0.000    0.000    0.000    0.000 __init__.py:388(<genexpr>)
        1    0.000    0.000    0.000    0.000 __init__.py:409(PercentStyle)
        1    0.000    0.000    0.107    0.107 __init__.py:41(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:41(register)
        2    0.000    0.000    0.000    0.000 __init__.py:415(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:424(StrFormatStyle)
        1    0.000    0.000    0.000    0.000 __init__.py:43(normalize_encoding)
        1    0.000    0.000    0.000    0.000 __init__.py:433(StringTemplateStyle)
     1269    0.000    0.000    0.000    0.000 __init__.py:435(set_up_substitutions)
        1    0.000    0.000    0.070    0.070 __init__.py:441(_feed)
        1    0.000    0.000    0.000    0.000 __init__.py:454(reset)
        1    0.000    0.000    0.000    0.000 __init__.py:457(Formatter)
        1    0.000    0.000    0.000    0.000 __init__.py:478(register_treebuilders_from)
        1    0.000    0.000    0.000    0.000 __init__.py:490(ParserRejectedMarkup)
      434    0.000    0.000    0.000    0.000 __init__.py:492(string_container)
        1    0.000    0.000    0.000    0.000 __init__.py:5(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:5(HTTPStatus)
        2    0.000    0.000    0.000    0.000 __init__.py:502(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:51(lookup)
     1268    0.002    0.000    0.002    0.000 __init__.py:527(popTag)
     1269    0.002    0.000    0.003    0.000 __init__.py:541(pushTag)
        1    0.000    0.000    0.000    0.000 __init__.py:550(__init__)
     2541    0.002    0.000    0.005    0.000 __init__.py:555(endData)
        1    0.000    0.000    0.000    0.000 __init__.py:57(check_compatibility)
       28    0.000    0.000    0.000    0.000 __init__.py:570(__missing__)
      434    0.001    0.000    0.001    0.000 __init__.py:589(object_was_parsed)
        1    0.000    0.000    0.000    0.000 __init__.py:59(GuessedAtParserWarning)
       51    0.000    0.000    0.000    0.000 __init__.py:617(_linkage_fixer)
        1    0.000    0.000    0.000    0.000 __init__.py:619(update)
        1    0.000    0.000    0.000    0.000 __init__.py:632(BufferingFormatter)
        1    0.000    0.000    0.000    0.000 __init__.py:64(MarkupResemblesLocatorWarning)
     1268    0.002    0.000    0.005    0.000 __init__.py:657(_popToTag)
        1    0.000    0.000    0.000    0.000 __init__.py:674(Filter)
     1268    0.003    0.000    0.019    0.000 __init__.py:691(handle_starttag)
